NUMBER OF OBSERVATIONS									
18475									
DAY	MONTH 	YEAR	RAIN	PET	GWL	ABS			
05	07	1970	0	3.313968971	-9999	0	-9999		
06	07	1970	0.07	3.313968971	-9999	0	-9999		
07	07	1970	1.785	3.313968971	-9999	0	-9999		
08	07	1970	4.566	3.313968971	-9999	0	-9999		
09	07	1970	0	3.313968971	-9999	0	-9999		
10	07	1970	0.001	3.313968971	-9999	0	-9999		
11	07	1970	0	3.313968971	-9999	0	-9999		
12	07	1970	0	3.313968971	-9999	0	-9999		
13	07	1970	3.113	3.313968971	-9999	0	-9999		
14	07	1970	4.966	3.313968971	-9999	0	-9999		
15	07	1970	0.034	3.313968971	-9999	0	-9999		
16	07	1970	0	3.313968971	-9999	0	-9999		
17	07	1970	0	3.313968971	-9999	0	-9999		
18	07	1970	5.731	3.313968971	-9999	0	-9999		
19	07	1970	0.742	3.313968971	-9999	0	-9999		
20	07	1970	0.041	3.313968971	-9999	0	-9999		
21	07	1970	0.006	3.313968971	-9999	0	-9999		
22	07	1970	0.659	3.313968971	-9999	0	-9999		
23	07	1970	1.079	3.313968971	-9999	0	-9999		
24	07	1970	18.128	3.313968971	-9999	0	-9999		
25	07	1970	0.005	3.313968971	-9999	0	-9999		
26	07	1970	2.064	3.313968971	-9999	0	-9999		
27	07	1970	9.233	3.313968971	-9999	0	-9999		
28	07	1970	0.072	3.313968971	-9999	0	-9999		
29	07	1970	0	3.313968971	-9999	0	-9999		
30	07	1970	0	3.313968971	-9999	0	-9999		
31	07	1970	0	3.313968971	-9999	0	-9999		
01	08	1970	0	2.482189061	-9999	0	-9999		
02	08	1970	0	2.482189061	-9999	0	-9999		
03	08	1970	0	2.482189061	-9999	0	-9999		
04	08	1970	0	2.482189061	-9999	0	-9999		
05	08	1970	0	2.482189061	-9999	0	-9999		
06	08	1970	11.173	2.482189061	-9999	0	-9999		
07	08	1970	0.065	2.482189061	-9999	0	-9999		
08	08	1970	0	2.482189061	-9999	0	-9999		
09	08	1970	1.839	2.482189061	-9999	0	-9999		
10	08	1970	0.002	2.482189061	-9999	0	-9999		
11	08	1970	0	2.482189061	-9999	0	-9999		
12	08	1970	0	2.482189061	-9999	0	-9999		
13	08	1970	0.931	2.482189061	-9999	0	-9999		
14	08	1970	0.022	2.482189061	-9999	0	-9999		
15	08	1970	7.595	2.482189061	-9999	0	-9999		
16	08	1970	0.856	2.482189061	-9999	0	-9999		
17	08	1970	0.001	2.482189061	-9999	0	-9999		
18	08	1970	0.098	2.482189061	-9999	0	-9999		
19	08	1970	37.739	2.482189061	-9999	0	-9999		
20	08	1970	3.628	2.482189061	-9999	0	-9999		
21	08	1970	1.272	2.482189061	-9999	0	-9999		
22	08	1970	0.052	2.482189061	-9999	0	-9999		
23	08	1970	0.013	2.482189061	-9999	0	-9999		
24	08	1970	0.048	2.482189061	-9999	0	-9999		
25	08	1970	0.039	2.482189061	-9999	0	-9999		
26	08	1970	0	2.482189061	-9999	0	-9999		
27	08	1970	0	2.482189061	-9999	0	-9999		
28	08	1970	0	2.482189061	-9999	0	-9999		
29	08	1970	0	2.482189061	-9999	0	-9999		
30	08	1970	1.198	2.482189061	-9999	0	-9999		
31	08	1970	0.006	2.482189061	-9999	0	-9999		
01	09	1970	0.035	2.051504601	-9999	0	-9999		
02	09	1970	3.4	2.051504601	-9999	0	-9999		
03	09	1970	0.001	2.051504601	-9999	0	-9999		
04	09	1970	0	2.051504601	-9999	0	-9999		
05	09	1970	0	2.051504601	-9999	0	-9999		
06	09	1970	0.082	2.051504601	-9999	0	-9999		
07	09	1970	0.05	2.051504601	-9999	0	-9999		
08	09	1970	8.057	2.051504601	-9999	0	-9999		
09	09	1970	0.948	2.051504601	-9999	0	-9999		
10	09	1970	3.112	2.051504601	-9999	0	-9999		
11	09	1970	0.002	2.051504601	-9999	0	-9999		
12	09	1970	0.189	2.051504601	-9999	0	-9999		
13	09	1970	7.709	2.051504601	-9999	0	-9999		
14	09	1970	0	2.051504601	-9999	0	-9999		
15	09	1970	0.035	2.051504601	-9999	0	-9999		
16	09	1970	0.065	2.051504601	-9999	0	-9999		
17	09	1970	0	2.051504601	-9999	0	-9999		
18	09	1970	0	2.051504601	-9999	0	-9999		
19	09	1970	0	2.051504601	-9999	0	-9999		
